№ п/п	Инвентарный номер ИП	Дата сделки	Год постройки КС	Количество надземных этажей	Общая площадь помещения, кв.м	Этаж расположения	Количество жилых помещений (комнат), кв.м	Площадь кухни, кв.м	Наличие балкона, лоджии 	Наличие кладовой, гардеробной или других помещений для хранения	Высота потолка	Стеклопакеты в окнонных проемах	Возможность свободной планировки	Горячее водоснабжение	Санузлы	Отопление	Кондиционирование и вентиляция	Общее состояние здания/помещения	Элементы ландшафтного дизайна	Спортивная площадка	Огороженная территория	Количество парковочных мест для автомобилей	Собственная служба эксплуатации, управляющая компания	Консъерж/внутреннее видеонаблюдение	Подземный крытый паркинг (количество мест на парковке, шт.)	Наименование материала стен	"Наименование ""Виды конструкций"""	Территория	Доступность центра	Расстояние от СНП до центра притяжения	Цена, USD/кв.м	Цена за весь объект, USD	Маркер релевантности (1-релевантно, 0-нерелевантно)	номер оценочной зоны	СЗЗ	Пешеходная доступность рекреационой зоны	Маркер релевантности после усреднения	Стоимость Ани на дату сделки
4828	500/D-81452	17.09.2012	1950	2	57.59	1	2	6.9	нет	нет	3.0 - 4.0			Централизованное		Централизованное	Естественная вентиляция	Удовлетворительное								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1180.76	68000.00	1	Минск7_жм	0	1	1	1414.24
4829	500/D-87657	25.06.2012	1953	4	61.1	3	2	10.1	1	2 и более	2.7 - 3		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1522.09	93000.00	1	Минск1_жм	1	1	1	1559.40
4830	500/D-88099	07.06.2010	1953	2	62.94	1	3	8.4	нет	2 и более	2.7 - 3		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1223.39	77000.00	0	Минск7_жм	0	1	0	
4831	500/D-88104	09.12.2010	1953	2	39.97	1	2	7.69	нет	нет	2.7 - 3		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1501.13	60000.00	0	Минск7_жм	0	1	0	
4832	500/D-93143	01.12.2010	1955	7	58.42	4	2	10.4	1	1	3.0 - 4.0		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1763.09	103000.00	0	Минск1_жм	1	1	0	
4833	500/D-93198	14.04.2010	1955	7	98.96	4	3	9.5	2 и более	2 и более	3.0 - 4.0		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1717.87	170000.00	0	Минск1_жм	1	1	0	
4834	500/D-93203	26.10.2010	1955	7	61.34	5	2	14.5	1	1	3.0 - 4.0		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	805.36	49400.75	0	Минск1_жм	1	1	0	
4835	500/D-93240	26.03.2010	1955	7	55.5	2	2	9	нет	2 и более	3.0 - 4.0		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1106.41	61405.73	0	Минск1_жм	1	1	0	
4836	500/D-93301	26.11.2010	1955	4	60.5	2	2	9.91	нет	нет	2.7 - 3		нет	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1487.60	90000.00	0	Минск5_жм	1	1	0	
4837	500/D-98007	08.02.2013	1956	3	36.3	1	2	5	нет	нет	2.7 - 3			Автономное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1900.83	69000.00	1	Минск7_жм	0	1	1	1712.46
4838	500/D-99225	14.12.2012	1956	5	64.95	1	3				3.0 - 4.0			Централизованное		Централизованное	Приточно-вытяжная вентиляция	Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1431.87	93000.00	1	Минск7_жм	0	1	1	
4839	500/D-99248	25.02.2012	1956	5	47.9	3	2	7.8	1	нет	3.0 - 4.0		нет	Централизованное		Централизованное	Приточно-вытяжная вентиляция	Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1680.58	80500.00	1	Минск7_жм	0	1	1	1408.73
4840	500/D-99339	06.03.2013	1956	4	48.03	1	2				2.7 - 3			Централизованное		Централизованное	Естественная вентиляция	Хорошее								Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1748.91	84000.00	1	Минск1_жм	0	1	1	
4841	500/D-15320	19.07.2016	2004	12	88.4	5	3	11.9	1	1	до 2.7		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	свыше 20 до 30 включительно	0	1317.87	116500.00	1	Минск14_жм	1	1	1	1157.64
4842	500/D-70727	27.10.2016	1930	4	60.51	2	2	7.87	нет	нет	3.0 - 4.0		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1270.90	76902.35	1	Минск4_жм	1	1	1	1166.10
4843	500/D-70733	22.12.2015	1930	4	54.63	2	2	9.5	нет	нет	3.0 - 4.0		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1189.82	65000.00	1	Минск4_жм	1	1	1	1259.39
4844	500/D-70739	08.02.2016	1930	4	59.2	4	2	9.6	1	нет	3.0 - 4.0		да	Централизованное		Централизованное	Естественная вентиляция									Кирпич, блоки легкобетонные	Бескаркасная	г. Минск Советский район	до 10 включительно	0	1241.55	73500.00	1	Минск4_жм	1	1	1	1187.33
